id,description,skills_list
127202494,"Обязанности:  Моделирование клиентского поведения, прогнозирование оттока; Работа в Yandex DataSphere, создание и тренировка ML-моделей; Подготовка данных для моделей (ETL-процессы, очистка, фичи); Построение системы «цифрового двойника клиента».  Требования:  Уверенное владение Python, pandas, scikit-learn, MLflow; Опыт работы в DataSphere или аналогичных средах; Знание SQL и базовых принципов ETL; Понимание клиентской аналитики, NPS, retention.  Условия:  Интересные задачи и проекты; Оформление по ТК РФ; Официальная заработная плата (уровень оплаты труда, обсуждается с успешным кандидатом на собеседовании); График работы 5/2 пн-чт с 09.30 до 18.15, пятница с 09.30 до 17.00.","['etl', 'etl-процессы', 'ml', 'mlflow', 'pandas', 'python', 'scikit-learn', 'sql', 'прогнозирование']"
127244399,"Ищем специалиста, готового влиться в команду профессионалов в один из крупнейших банков страны. Сегодня мы в поиске Аналитика данных. Основные обязанности:  Работа в функциональной команде, нацеленной на развитие продаж Работа с базами данных с целью оцифровки и разработки моделей прогнозирования Проведение исследований Сопровождение A/B тестов Разработка регламентной отчётности и дашбордов Анализ и поиск решений повышения эффективности продаж  Требования:  Опыт работы аналитиком данных от 9 месяцев и выше Развитое критическое и системное мышление, понимание основ теории вероятностей и математической статистики Знание Python (базовый уровень), SQL на уровне middle Опыт работы с DWH Знания Apache Superset будет являться преимуществом  Что мы предлагаем:    Заработная плата обсуждаются на финальном собеседовании с руководителем Бонус по итогам года за отличную работу Удалённый формат работы: понедельник–пятница, 10:00–19:00 (возможен 1 офисный день в неделю) Оформление: по ТК РФ, стабильные выплаты Полис ДМС и страховка от несчастных случаев для сотрудника, льготные условия страхования для близких Специальные тарифы по картам и кредитам от банка Скидки и акции от партнёров компании Возможности профессионального и карьерного роста: обучение, курсы, наставничество и развитие личной эффективности  Уважаемые кандидаты! Просьба при отклике указывать свои ЗП ожидания и телеграмм для связи.","['apache superset', 'dwh', 'python', 'sql', 'superset', 'аналитика', 'поиск', 'работа с базами данных', 'системное мышление']"
126209623,"В сегодняшней бизнес-среде компаниям необходимо понимание стоимости и прибыльности их продукции. Благодаря сочетанию практического опыта и значительных академических знаний Группа цифровых финансов помогает клиентам в вопросах совершенствования системы бюджетирования, управленческой отчетности, систем управления эффективностью деятельности и кассовых операций. Мы находимся в поиске талантливого специалиста, который будет разрабатывать и внедрять инструменты работы с данными, ИТ-подходы для повышения эффективности проектов и проводить анализы модели. Задачи  Применение продвинутых ИТ подходов на реальных проектах консалтинга Разработка инструментов работы с данными, повышающими эффективность проектов Внедрение новых подходов по работе с данными (графы, строковые алгоритмы и т.д.) Анализ модели с помощью Монте Карло  Мы ожидаем  Высшее образование или в том числе студент старших курсов в области математики, информатики в бизнесе и аналогичные Хороший уровень Python (pandas, numpy) в части анализа и обработки данных Понимание ООП Хорошие знания алгоритмов, структур данных (рекурсия, деревья, хеширование, понятие сложности алгоритма) Базовые знания Git Хорошие знания математики (графы, множества, комбинаторика) Знания реляционных баз данных (SQL, ER диаграммы, нормальные формы) Общие знания data science (ML)  Как преимущество  Знание нейросетей и языковых моделей (pytorсh, hugging face, langchain, llama index) Умение работы с Excel, VBA (знание объектной модели excel) Знания/понимание бизнеса, экономики, бухгалтерского учета, финансовых данных, систем планирования и управленческого учета  Что мы предлагаем  Быстрый и прозрачный карьерный рост: работа с менеджером-куратором по индивидуальному плану развития, карьерное консультирование Гибкий график и возможность работать из офиса или из дома Возможность проявить себя и внести свой вклад в изменения бизнеса Команда профессионалов, которая всегда поддержит Корпоративное обучение: более 50 тренингов, доступ к изучению иностранных языков и электронной библиотеке Забота о сотрудниках: ДМС со стоматологией после завершения стажировки, 5 оплачиваемых дней в году по болезни без оформления больничного, корпоративный спорт и мероприятия, скидки партнеров, программа психологического здоровья, комфортный и стильный офис Конкурентная заработная плата, бонусы по итогам финансового года и годовой оценки сотрудника, премии за интенсивную работу и выдающиеся результаты Участие в интересных проектах для крупнейших компаний Официальное трудоустройство с возможностью оформить практику для вуза","['data science', 'git', 'hugging face', 'langchain', 'ml', 'numpy', 'pandas', 'python', 'sql', 'vba', 'алгоритмы', 'ооп']"
127192646,"Mediascope – исследовательская компания, которая работает на стыке медиа и IТ. Мы анализируем аудиторию телевидения, интернета, радио и прессы, поставляем данные и создаем уникальные аналитические продукты, которыми пользуются российские медиа, рекламные агентства и компании-рекламодатели. Наша задача – создавать и поддерживать индустриальные стандарты работы с данными на рынке медиа и рекламы, а также развивать медиаисследования в России. О команде, в которой предстоит работать: Ключевой продукт нашей компании это данные и аналитика, построенная на них. Поэтому у нас построена огромная инфраструктура по сбору и обработке самых разнообразной и интересной информации о пользователях интернета (и не только). А еще много разнообразных задач, связанных с этими данными. У нас молодой, активный и крайне увлеченный коллектив из менеджеров и аналитиков. Наша команда реализации проектов находится на стыке 4 морей: клиентские менеджеры, разработка, производство и эксплуатация. Поэтому у нас много всего интересного:  Лаб тесты/тесты обновлений инструментов, приложений Делаем эксперименты и анализ различных моделей совместно с командами RnD и Data Science, строим прототипы Разбираем странные кейсы, ищем аномалии Проверяем доработки от команды разработчиков Формируем ТЗ для команды эксплуатации по контролю качества, разбираем вместе с ними инциденты и аллерты Готовим описания для внутреннего и внешнего использования  Чем предстоит заниматься:  Изучать большой объем данных с помощью инструментов BigData и искать в них зависимости, аномалии, ошибки Проводить анализ данных: сбор и загрузка данных, преобразование данных в удобный для исследования вид, проверка их качества и полноты, аналитические выводы Валидировать источники данных и их последующую обработку с точки зрения бизнес-смысла Сопровождать процесс разработки и внедрения проектов Участвовать в разборе инцидентов и исправлении ошибок Находить причины аномалий, ошибки в данных и курировать их исправление Документировать различную информацию (база знаний в Confluence)  Что для этого потребуется:  Высшее профильное образование Опыт чтения документации DWH Уверенное владение SQL или Python Умение использовать продвинутые функции Excel Опыт работы с Zeppelin, Spark, Jupyter Notebook, таблицами HDFS (как плюс) Базовые знания статистического анализа Опыт работы в аналитике данных от 1 года  Мы предоставим комфортные условия для работы:  Возможность выбирать формат работы – офис, гибрид Официальное оформление, гарантируем соблюдения трудового кодекса РФ Расширенная медицинская страховка (включая стоматологию) Используем современный стек технологий и открыты к внедрению новых инструментов Работа в аккредитованной IT -компании Мы умеем быстро подстраиваться под изменения, и у нас внутри гибкие процессы Наши заказчики – крупные компании на российском медиарынке, у нас разные проекты от значимых до очень значимых  Наши преимущества:  Выделенный наставник с первых дней работы: мы понимаем, что новая компания - всегда стресс, поэтому у нас новичкам помогают старшие коллеги Внутренние коммьюнити: 2 трека внутренних митапов для аналитиков и инженеров; возможность выступать как спикер или приходить на выступления других коллег в качестве слушателя Карьерный рост: при хороших результатах работы вы быстро двигаетесь по карьерному треку Уникальная корпоративная культура, ориентированная на людей. Для нас важен каждый коллега, мы всегда открыты к диалогу и любым вопросам сотрудников","['data science', 'dwh', 'hdfs', 'jupyter notebook', 'python', 'spark', 'sql', 'анализ данных', 'аналитика', 'преобразование данных']"
126562421,"Привет! Мы команда разработчиков платформы Young&Junior, которая собирает вакансии со всех интернет-ресурсов. Сейчас нашим сайтом пользуется 30 000 человек ежемесячно, и мы активно растем, поэтому набираем сотрудников в отдел аналитики. На данный момент мы разработали агрегатор вакансий, который парcит вакансии по 6 направлениям. В ближайшие время планируем внедрять новые фичи:  -Добавить на сайт конструктор резюме -Интегрировать сайт с нашим тренажером собеседований -Расширить блок с IT мероприятиями и ИИ-инструментами для джунов Поэтому нам нужны активные, инициативные аналитики. Чем предстоит заниматься?   Собирать и обрабатывать данные из различных источников для последующего анализа   Создавать визуализации и дашборды для мониторинтра ключевых метрик продукта   Участвовать в анализе пользовательского поведения и ключевых сценариев (например, воронка от поиска вакансии до отклика)   Тесно взаимодействовать с командами продукта и разработки, помогая формировать требования к данным и проверяя их качество   Активно участвовать в планировании и обсуждении задач, предлагая идеи по улучшению методов анализа и метрик   Что мы предлагаем?  Влияние на продукт: твои решения сразу повлияют на тысячи пользователей. Полностью удалённая работа с гибким графиком. Обучение и рост.  Обязательные требования:   Базовые знания SQL для работы с данными   Навыки работы с Excel/Google Таблицами (сводные таблицы, основные функции)   Понимание основ статистики и анализа данных   Внимательность к деталям и умение работать с большими объемами информации   Способность работать в команде, воспринимать обратную связь и постоянно учиться   Будет плюсом:   Опыт работы с системами визуализации данных (Tableau, Power BI, DataLens и др.)   Базовые знания Python (pandas, numpy) для анализа данных   Знакомство с процессами гибкой разработки (Scrum/Kanban)   Понимание принципов веб-аналитики и метрик продукта   Наличие учебных проектов или кейсов по анализу данных   До встречи на собесе!","['bi', 'datalens', 'numpy', 'pandas', 'power bi', 'python', 'scrum', 'sql', 'tableau', 'дашборды', 'ии']"
127139735,"Мы — не просто компания. Мы — драйвер изменений и лидирующий провайдер финансовых услуг и сервисов в России.   Залог успеха IDF Eurasia - команда высококлассных экспертов. Мы ценим работу каждого и поддерживаем обмен опытом между подразделениями. Тебя будут окружать эксперты, с которыми ты с уверенностью сможешь бросить вызов самым нестандартным задачам.   Стратегия, Исполнение и Команда — ценности, лежащие в основе нашей культуры.   Ищем Junior Data Scientist, который хочет расти под руководством опытных коллег и участвовать в полном цикле создания и внедрения ML-моделей, на проект Moneyman.    Чем предстоит заниматься:  Участвовать в полном цикле разработки и эксплуатации скоринговых и предиктивных моделей под руководством старших коллег: от сбора данных и анализа до запуска в промышленную эксплуатацию. Вести документацию по моделям и задачам. Заниматься ad-hoc аналитикой. Взаимодействовать с заказчиками. Совершенствовать процесс разработки моделей, наполнение feature store и ABT-витрин, дорабатывать общие фреймворки разработки. Использовать стек: ClickHouse SQL, Python (библиотеки: pandas, numpy, scikit-learn, catboost), Airflow, MLflow.    Наши ожидания:   Знание Python и ключевых библиотек (Pandas, Scikit-learn) для анализа данных и машинного обучения.   Опыт написания SQL-запросов для извлечения и обработки данных.   Понимание основ ML: знакомство с основными алгоритмами и подходами к построению предсказательных моделей.   Навыки визуализации данных: умение строить понятные графики (Matplotlib/Seaborn) и/или дашборды (Tableau/Power BI).   Аналитический склад ума и внимание к деталям, подкрепленные знанием основ статистики.   Обучаемость и желание развиваться под руководством старших коллег, готовность участвовать в полном цикле проектов.   Ответственность и аккуратность в работе с кодом и документацией.  Будет преимуществом наличие pet-проектов / участие в хакатонах.    Мы предлагаем:  Профессиональное развитие – участие в разных проектах холдинга, создание новых направлений, влияние на бизнес-процессы и свободу в принятии решений. Прокачку скиллов – решение нестандартных задач + карт-бланш на смелые идеи и возможность быстро видеть реальный результат. Карьерный рост – ты будешь понимать, что нужно сделать для перехода на другой уровень. Работу в динамике – каждый день новые вызовы, где рутина уступает место крутым кейсам. Команду мечты – эксперты без бюрократии, открытый диалог с топ-менеджментом, основателями и идейными вдохновителями бизнеса. Комфортный офис м. Парк Победы/Фили/Багратионовская в пешей доступности в гибридном формате или полностью удаленный формат. Стабильный уровень дохода (оклад + премии), размер заработной платы обсуждается по итогам собеседования. Более, чем привлекательный компенсационный пакет: программа ДМС, в которую входит стоматология и обслуживание в лучших клиниках города; корпоративное такси; 8 дополнительных дней к отпуску; обучение и участие в конференциях.","['airflow', 'bi', 'catboost', 'clickhouse', 'data scientist', 'matplotlib', 'ml', 'mlflow', 'numpy', 'pandas', 'power bi', 'python', 'scikit-learn', 'seaborn', 'sql', 'tableau', 'аналитический склад ума', 'дашборды', 'ответственность']"
126075229,"Call Solutions – компания клиентской поддержки бизнеса, продаж и развития регионов на международных рынках IT и финансовых технологий. Работаем с клиентами из 10 стран, услуги предоставляем на их родном языке.Ищем в команду Аналитика данных, основными задачами которого будет заключаться в сборе и анализе данных для получения ценных сведений с целью устранения неполадок и оптимизации работы отдела/подразделения и затрат.Уважаемые соискатели, обратите внимание, что данная вакансия подразумевает работу только из офиса. Вам предстоит:   Изучать поведение пользователей, заниматься поиском проблем и точек роста бизнеса;   Искать причины роста и падения метрик;   Оценивать риски, влияния и зависимости от изменений в продукте и маркетинговых активностей;   Формулировать гипотезы на основе полученных данных;   Заниматься планированием и прогнозированием бизнес-показателей;   Проводить сценарное моделирование/прогнозирование поведения клиентских когорт;   Визуализировать данные и разрабатывать дашборды (Tableau);   Подготавливать презентации для рменеджмента с целью представления гипотез, основанных на данных;   Работать с ad-hoc запросами бизнеса;   Создавать и поддерживать системы данных/дерева метрик, охватывающего весь необходимый объем информации;   Декомпозировать факторы по степени влияния на метрики продукта;   Взаимодействовать с внутренним заказчиком для определения приоритетов в развитии продукта;   Взаимодействовать с продуктовой группой, маркетингом, финансовым отделом в зоне ответственности;   Представление интересов команды на общих встречах.   Мы ожидаем:   Уверенное владение инструментами анализа данных, такими как: MS Excel, SQL для обработки и анализа больших объемов данных;   Практический опыт работы с аналитическими инструментами и инструментами визуализации данных (Tableau, Amplitude) для создания отчетов и дашбордов;   Знание маркетинговых и продуктовых показателей (LTV, ROI, CPA, CPM);   Базовые знания статистики;   Опыт анализа тенденций и корреляций;   Знание и практический опыт проведения A/B и ABC тестов;   Знание методологий Scrum/Agile будет преимуществом;   Знание английского языка на уровне B2 или выше;   Свободное владение русским языком обязательно;   Сильные аналитические навыки, внимание к деталям и способность критически мыслить, ориентируясь на потребности бизнеса;   Инициативность в выявлении проблем и предложении инновационных решений;   Умение работать в команде, эффективно взаимодействовать с коллегами и внутренними заказчиками.   Мы предлагаем:   Платим конкурентную белую зарплату;   Предлагаем стабильную работу в развивающейся компании;   Даем возможность для профессионального развития: практические курсы и мастер-классы;   Оформляем крутой ДМС со стоматологией и чекапами;   Частично компенсируем транспорт;   Предоставляем вкусные обеды в офисе на выбор, снеки на кухне;   Работаем в комфортном офисе с красивым панорамным видом на город;   Частично компенсируем спорт, психотерапевта и языковые курсы;   Веселимся на рок-н-ролльных корпоративах;   Ежемесячно проводим захватывающие офисные мероприятия и тимбилдинги;   Дарим подарки на дни рождения сотрудников и праздничные подарки для детей сотрудников;   Выплачиваем бонус за лояльность после двух лет работы.   *Эта позиция предполагает работу полностью из офиса.","['agile', 'amplitude', 'ltv', 'ms excel', 'scrum', 'sql', 'tableau', 'аналитика', 'дашборды', 'прогнозирование']"
127060619,"ООО «Сибагро-ИТ» - аккредитованная IT-компании, которая занимается проектами в части автоматизации процессов в структуре агропромышленного Холдинга Сибагро, приглашает на работу Junior Data Scientist . Задачи:  разметка и аннотация данных для задач машинного зрения: проверка качества размеченных данных; оценка эффективности моделей (метрики: точность, полнота, mAP и т.д.) участие в оптимизации и развертывании моделей; поддержка процессов предобработки данных, автоматизации и документации.​​​​​​​  Что для этого нужно:  опыт работы в среде Linux; знание Python на продвинутом уровне; опыт с фреймворками YOLO (например, YOLOv5/YOLOv8/YOLOv11); знание ONNX и TensorRT для оптимизации моделей;​​​​​​ инструменты: Roboflow (управление данными), CVAT (разметка), Docker, Docker Compose.  Будет преимуществом:  базовое понимание PyTorch/TensorFlow, Git, облачных платформ (AWS/GCP), CI/CD, визуализации данных (Matplotlib/Plotly).  Работа в холдинге Сибагро - это:  трудоустройство и оплата труда в полном соответствии с законодательством РФ; график работы: пятидневная рабочая неделя (пн-пт) с 08:30 до 17:30; формат работы: офис, удаленно или гибрид; наставничество и кураторство для новых сотрудников; профессиональное развитие и обучение за счет компании; частичная компенсация стоимости аренды жилья иногородним сотрудникам; государственные льготы, которые распространяются на сотрудников аккредитованных IT-компаний; корпоративные предложения для сотрудников: бесплатная продукция холдинга, подарок от компании ко дню рождения, праздничные и спортивные мероприятия, подарки для детей сотрудников и материальная помощь в разных жизненных ситуациях.  Благодарим Вас за желание построить карьеру в нашей компании!","['aws', 'ci/cd', 'data scientist', 'docker', 'git', 'linux', 'matplotlib', 'plotly', 'python', 'pytorch/tensorflow', 'yolo']"
126315420,"Robusta — международная IT компания, которая разрабатывает программное обеспечение, создает веб-сервисы и внедряет аналитику. Шаг за шагом мы вывели на рынок несколько успешных проектов и собрали их в один общий дом, который и назвали Robusta. Сейчас мы открываем новый отдел службы поддержки клиентов и ищем опытных специалистов, готовых развиваться вместе с нами. Мы обеспечим обучение, чёткие процессы и поддержку, чтобы вы чувствовали себя уверенно с первого дня. Ждем тебя! Чем предстоит заниматься:  Оценка качества трафика — анализировать и оценивать источники и параметры трафика для определения их эффективности и качества. Расчет оптимальных комиссий по сделкам — разрабатывать модели и предложения по оптимизации размером комиссионных выплат за сделки с целью повышения прибыльности. Расчет выполнения KPI команд по партнерскому маркетингу — отслеживать, анализировать и рассчитывать показатели эффективности (KPI) команды партнерского маркетинга для оценки их достижения целей. Построение дашбордов в BI Tableau — создавать интерактивные отчеты и визуализации для мониторинга ключевых метрик и бизнес-показателей с использованием платформы Tableau. Работа с ad-hoc запросами — оперативное выполнение специальных запросов и анализа данных по мере возникновения бизнес-потребностей.  Что мы от тебя ожидаем:  Опыт оценки трафика Создание дашбордов в BI (желательно Tableau) Разработка аналитических моделей Внимательность к данным и их точности Формирование отчетов и аналитика Уверенные навыки SQL  Почему у нас классно работать:  Удаленный/гибридный формат работы. Компенсация расходов на спорт, английский язык и другие профессиональные курсы. ДМС. Нам важно, чтобы наши сотрудники развивали свои компетенции и были здоровы! Подарки на День Рождения, Свадьбу, Рождение ребенка - ведь мы не можем пройти мимо таких событий! Реферальная система — бонус за приведенного сотрудника. Работа без бюрократии и ненужных ритуалов. Мы работаем вместе, чтобы помочь вам реализовать ваши амбиции, а компании — расти!  Процесс общения проходит всего в несколько этапов: 1. HR интервью 2. Интервью с лидом 3. Оффер Если тебя заинтересовала наша позиция, то непременно отправляй свой отклик, мы свяжемся с тобой для более детального общения!","['bi', 'sql', 'tableau', 'аналитика', 'английский язык', 'создание дашбордов']"
126718438,"BND - консалтинговая компания, специализирующаяся на предоставлении услуг в области бизнес-аналитики (BI, Business Intelligence), риск-менеджмента, управления взаимоотношениями с клиентами (CRM), финансовой консолидации и электронного бизнес Сейчас в компании активно развивается направление DS. Мы решаем задачи в области computer vision и прогнозирования, связанными с промышленностью. Поэтому очень ищем специалиста Data Science (уровень junior) Для данной позиции предусмотрено тестовое задание, если откликаетесь, то будте готовы его выполнитьВаши будущие задачи: • Собирать и готовить данные для использования в ML-моделях • Разработка и поддержка микросервисов на Python, основанных на моделях компьютерного зрения, и их интеграция с другими компонентами систем; • Тестирование, оценка и оптимизация производительности моделей и сервисов, созданных на их основе, а также сборка ML-пайплайнов. Стек технологий: Python (OpenCV, NumPy, Pandas, PyTorch), SQL, Triton Inference Server, TensorRT, Docker, Kubernetes, Helm Мы ожидаем: • Высшее образование (математическое, техническое) • Возможность работать полную рабочую неделю • Знание современных архитектур нейросетей • Понимание как устроены классические алгоритмы машинного обучения и принципы их работы • Опыт с проектами CV (Computer Vision) и deep learning • Английский для чтения статей и технической документации Будет плюсом, если вы: • Обучали и применяли на практике CV модели; • Работали с контейнеризацией при помощи Docker и кластером на Kubernetes; • Знаете С++; • Знакомы с TensorRT и CUDA. Что мы готовы вам предложить: • Работу в интересном проекте крупного заказчика; • Перспективы роста и развития в компании; • Достойный уровень компенсации; • Оформление по ТК РФ; • График 5/2, гибридный график работы; • ДМС, после прохождения испытательного срока; • Гибридный график работы (1-2 раза в неделю офис); • Офис в центре Москвы 5 минут от м. Новокузнецкая / м. Третьяковская","['bi', 'business intelligence', 'computer vision', 'crm', 'cv', 'data science', 'deep learning', 'docker', 'ds', 'kubernetes', 'ml', 'numpy', 'opencv', 'pandas', 'python', 'pytorch', 'sql', 'алгоритмы', 'алгоритмы машинного обучения']"
