id,name,area,experience,key_skills,description
127587284,Аналитик данных (Партнерства) | Data Analyst (Partnerships),Москва,От 1 года до 3 лет,"SQL, Python, Tableau, Power BI, Apache Airflow, Spark, Clickhouse","Наша команда Business Management в поиске аналитика на направление партнерств.  Обязанности:  развитие, автоматизация, поддержка ключевых дэшбордов компании подготовка ad-hoc аналитики по запросам бизнес-команд согласование методологий расчёта метрик с бизнес-владельцами оптимизация SQL-запросов и существующих аналитических решений поддержка корректности данных и контроль качества отчётности.  Требования:  1–2+ года опыта в аналитике данных владение SQL и Python на уровне написания эффективного кода опыт работы с BI-инструментами (Tableau, Power BI) навык подготовки аналитических выводов и рекомендаций коммуникационные навыки (работа со стейкхолдерами) базовое понимание ETL-процессов (Airflow, Spark, Clickhouse) опыт работы с большими объёмами данных.  Условия:  ​​​Работу в одной из крупнейших в России компаний в сфере e-commerce Конкурентоспособную заработную плату с бонусами по результатам работы MacBook Pro 13/16 ДМС и страхование от несчастных случаев (со 100% страхованием детей) Гибридный график работы (удаленка обсуждается отдельно)"
127361410,Data Scientist,Екатеринбург,Нет опыта,"Python, SQL, PostgreSQL, Git, Машинное обучение, Аналитическое мышление","МУЖИКИ ПРО — бренд, который работает над имиджем и не боится тестировать гипотезы.В основе нашей компании лежит оригинальная концепция подхода к оказанию услуг, поэтому мы так стремительно вырвались вперёд.Мы присутствуем в 21 городе России и Индонезии, завоевали 3 Народные Премии, звание лучшего барбершопа и победили во множестве региональных номинаций. ✔️ Качества, которые мы ценим:  Аналитическое мышление — умение разбираться в данных, находить insights и предлагать решения на основе фактов. Непрерывное обучение — самостоятельная инициатива в развитии, интерес к сфере, освоение нового. Ответственность — соблюдение дедлайнов и грамотная расстановка приоритетов. Гибкость — умение быстро адаптироваться к изменениям и принимать решения. Креативность — поиск нестандартных подходов к задачам с данными и ML.  ✔️ Что мы предлагаем:  Самореализацию — поддерживаем инициативы, рассматриваем гипотезы и даём пространство для экспериментов с данными и моделями. Экологичную рабочую среду — корпоративная культура строится на уважении и ценности друг к другу. Развитие — работа в экспертной команде, обмен опытом, возможность расти профессионально. Комфорт — офис в центре города (БЦ «Консул»), 5 минут от Плотинки. График: 5/2, с 10:00 до 18:00.  ✔️ Пул задач:  Написание Python-скриптов для автоматического формирования аналитических отчётов. Подготовка новых показателей, обработка и очистка данных, сбор витрин показателей. Обучение моделей регрессии, классификации, кластеризации, работа с нейросетями и computer vision (CV). Написание скриптов для наполнения баз данных из API внешних сервисов. Поддержка существующего аналитического пайплайна.  ✔️ Требования:  Знание Python и ключевых инструментов для работы с данными и ML: pandas, PostgreSQL, (будет преимуществом опыт работы с Matplotlib, NumPy, scikit-learn, PyTorch/TensorFlow), Jupyter Notebook, Git. Желателен опыт с computer vision (CV) и HTTP-запросами/API/парсингом. Готовы рассмотреть без коммерческого опыта: учитываем pet-проекты, учебные проекты, стажировки или практики. Понимание алгоритмов ML, знание основ высшей математики, статистики и вероятности. Образование: приветствуется профильное (математика, IT направление), но отбираем по компетенциям — оно не обязательно.  Если тебя заинтересовала наша вакансия — оставляй отклик. Стань частью команды МУЖИКИ ПРО"
127599186,Data scientist (с релокацией),Москва,От 3 до 6 лет,,"Fintech компания AMarkets с 2007 года предоставляет передовые решения для торговли на финансовых рынках для трейдеров и инвесторов во всем мире. Мы строим глобальную компанию, конкурируем с мировыми игроками и, главное, получаем удовольствие, занимаясь любимым делом. В связи с ростом объема задач открыта новая позиция Data scientist. Вы будете решать следующие задачи:   Разработка моделей прогнозирования и моделирования различных бизнес процессов   Сбор, валидация и анализ данных из корпоративных информационных систем;   Анализ исторических данных;   Построение алгоритмических математических моделей;   Разработка и обучение нейронных сетей;   Анализ и прогноз временных рядов;   Кластеризация и сегментация клиентской базы;   Выдвижение и проверка гипотез для улучшения ключевых показателей эффективности бизнеса;   Разработка моделей скоринга клиентов;   Разработка новых показателей (метрики, KPI).   Требования:   Опыт работы в FinTech: брокерских, букмекерских компаниях или игорной индустрии;   Высшее образование в таких предметных областях, как: математика, финансы или экономика, информатика, физика, инженерия или аналогичные;   Исследовательский склад ума: быть глубоким мыслителем, творческим человеком, настойчивым, умным, инициативным, внимательным к деталям и т. д.;   Критическое мышление и способность находить нестандартные подходы;   Уверенное владение инструментами BI аналитики, а также знание MySQL, Google Big Query, Python, Hadoop, Git;   Английский язык: B2   Условия:   Обязательная релокация в европейское подразделение компании;    Комфортабельный офис, отличный климат и условия проживания. Переезд и легализация за счет компании.   Программа бенефитов после 1 года работы в компании.   ДМС, программа лояльности.  В обмен на светлую голову и золотые руки мы предлагаем конкурентную заработную плату в USD.  Амбициозные задачи.   Сплоченная команда профессиональных единомышленников - конкретно знаем чего хотим и готовы сопровождать на всех этапах."
127592071,Data Scientist,Новосибирск,От 1 года до 3 лет,,"Мы предлагаем:​​​​​  официальное трудоустройство по ТД; белая зарплата и бонусы; график работы 5/2 с 9:00 до 18:00; отсутствие жёсткого дресс-кода; комфортный офис в центре города рядом с метро площадь Ленина; оборудованная комната для приема пищи; корпоративные мероприятия, подарки сотрудникам и их детям, мерчи; расширенный ДМС после 1 года работы в компании.  Вам предстоит:  разработка и внедрение прогнозных моделей; создание эффективных BI-решений; построение аналитических дашбордов; повышение качества принимаемых бизнес-решений.  От вас мы ожидаем:   высшее образование в сфере прикладной математики или статистики или экономики (с уклоном в количественный анализ);   дополнительные сертификаты в области Data Science и машинного обучения;   опыт работы от 2 лет в роли Data Scientist или аналитика данных;   опыт реализации проектов в финансовой сфере (банки, финтех);   опыт работы с BI-системами и OLAP-технологиями, владение инструментарием визуализации;   опыт создания дашбордов и отчетов;   продвинутое владение Python, MS SQL, NoSQL базы данных;   знание методов оценки качества моделей;   Существенным плюсом является:   понимание банковских продуктов и услуг;   опыт работы с финансовыми показателями;   знание принципов риск-менеджмента;   опыт оценки кредитного риска."
127597119,"Продуктовый аналитик, Data platform",Москва,От 3 до 6 лет,"IT, Разработка платформы, SQL, DWH","Привет! Это команда продуктовых аналитиков DWH. Мы объединяем в себе функции бизнес и системных аналитиков, обрабатываем запросы пользователей, ставим технические задания на команды DE и DWH разработчиков. Примеры задач:   проработка запросов заказчика и сбор бизнес требований;   архитектура хранения данных в DW, постановка ТЗ на разработку сущностей в DWH;   проработка ТЗ на разработку витрин в DWH;   поддержка DWH.   Вам предстоит: Аналитическая деятельность   анализ требований от заказчика в рамках задач по построению отчетных витрин на базе DWH;   взаимодействие с владельцами систем источников и системными аналитика в рамках задач по интеграции систем источников с DWH;   подготовка технической документации на разработку для разработчиков DWH;   контроль реализации задач (тестирование и первичная приемка) на базе DWH.   Работа с хранилищем и пользователями   по требованиям заказчика проработать пилот сборки витрины на базе DWH;   анализ интегрируемых данных и контроль качества данных;   описание логической и физической модели данных;   консультация пользователей по «правильной» работе с хранилищем.   Мы ожидаем:   опыт работы бизнес аналитиком;   опыт сбора требований и написания технической документации;   знание SQL для проверки гипотез;   понимание общих принципов построения хранилищ.   Будет плюсом:   опыт работы с Vertica;   опыт написания скриптов на Python;   опыт работы в FMCG коммерция, логистика."
127593548,ML разработчик,Москва,От 3 до 6 лет,"PyTorch, TensorFlow, OpenCV","LIAN — системный интегратор с фокусом в аналитике и управлении данными. Мы работаем в трех направлениях: 1. Автоматизация управленческой отчетности (BI) в малом и среднем бизнесе. Строим хранилища данных, настраиваем сбор и интеграцию, разрабатываем отчеты и дэшборды. Наш стек в BI включает все современные инструменты, в том числе open-source ПО. 2. Заказная разработка аналитических систем. Когда у нашего клиента есть специфичный запрос, мы разрабатываем аналитические системы с нуля. Часто применяем подходы BigData, Data Science, актуальные подходы к программному анализу данных и прогнозированию. 3. Запуск и ресурсное обеспечение команд разработки в комплексных проектах цифровой трансформации. Мы усиливаем команды наших партнеров и клиентов собственными сотрудниками и обеспечиваем максимально быстрый старт новых проектов. Среди наших заказчиков - крупные системные интеграторы, банки, нефтегазовые, химические производства, логистические компании, стартапы. Сейчас мы приглашаем опытного специалиста, который будет развивать и внедрять сложные ML-модели, работая на стыке обработки естественного языка и компьютерного зрения на проектной основе. Чем предстоит заниматься:  Адаптация и дообучение LLM для решения специфических бизнес-задач. Разработка и внедрение моделей компьютерного зрения в production-среде. Организация полного цикла работы с данными: от проектирования схемы сбора и интеграции с DWH до автоматизации разметки и подготовки качественных датасетов. Оптимизация производительности и масштабирование ML-сервисов. Участие в проектировании архитектуры ML-решений и их интеграция в продуктовую экосистему.  Наши пожелания к кандидатам:   Глубокие знания в NLP: практический опыт работы с Large Language Models (LLM), включая их тонкую настройку (SFT/DPO, LoRA) и создание RAG-систем.   Экспертиза в Computer Vision: уверенное применение современных библиотек и фреймворков (PyTorch, TensorFlow, OpenCV) для решения прикладных задач.   Data Engineering для ML: навыки проектирования и поддержки ETL/ELT-пайплайнов для подготовки данных, работа с инструментами авторазметки, очистки и балансировки датасетов.   Продакшн-развертывание: опыт вывода высоконагруженных ML-моделей в production, их оптимизации и обеспечения стабильного инференса.   Технический стек: уверенное владение Python и опыт работы с контейнеризацией (Docker/Kubernetes).   Уверенное владение: PyTorch, TensorFlow, OpenCV   Уровень middle+ или senior   Что мы предлагаем:  Форма трудоустройства на ваш выбор: договору оказания услуг с ИП или самозанятым Участие в интересных масштабных проектах с Заказчиками федерального и международного уровня Работа с передовыми технологиями Возможности профессионального и карьерного роста Полностью удаленная работа Регулярная и достойная оплата труда  В нашей команде работают профессионалы с разносторонним опытом. Здесь ты найдешь профессиональные задачи и новые вызовы, сможешь реализовать свой потенциал.Хочешь стать частью нашей команды? Мы ждем твоего отклика и свяжемся с тобой !"
127596768,"Data Scientist (с фокусом на LLM, RAG и Агентов)",Казань,От 3 до 6 лет,,"В SimbirSoft более 1700 разработчиков ежедневно решают интересные задачи, которые делают комфортнее жизни миллионов пользователей. Если тебе интересны сложные технические задачи, работа в команде профессионалов, возможность прокачать экспертизу на проектах из разных сфер бизнеса – присоединяйся к нам! Вам предстоит заниматься:  созданием чат-ботов (RAG подход), настройкой моделей LLM, выполнением задач полного цикла от постановки задачи до деплоя моделей.Для нас важно: коммерческий опыт от 2-х лет. практический опыт работы с современными LLM (GPT, Llama, Mistral, Claude и др.) свободное владение Python и библиотеками для ML (PyTorch, TensorFlow). опыт проектирования и оптимизации RAG-систем для улучшения генеративных моделей. владение основами ML/DS и NLP, знание основ линейной алгебры, мат. анализа, теории вероятности, статистики. умение работать с фреймворками для тонкой настройки (Hugging Face Transformers, PyTorch, TensorFlow). разработка и улучшение AI-ассистентов.Будет плюсом: опыт работы с мультимодальными моделями (текст + изображение/аудио), знание методов оптимизации LLM (квантизация, pruning, ускорение инференса), участие в open-source проектах или публикации в NLP/ML.Мы предлагаем: Работу в команде экспертов. Широкий технологический стек, сотни проектов. Гибкий график работы, который позволяет высыпаться и выделять время на хобби. Льготы и меры господдержки, предусмотренные для IT-компаний (аккредитованы Минцифры*). Возможность разрабатывать IT-решения для разных отраслей, пробовать новые технологии. У нас выстроены процессы удаленной работы, при этом есть просторные офисы с зонами коворкинга, где можно с комфортом пообщаться, поиграть в настолки или в тишине обдумать рабочие задачи. Возможность прокачаться во всех интересующих направлениях. Развитую систему наставничества, сертификацию за счёт компании, участие в конференциях, изучение английского языка. Активный обмен опытом, внутренние и внешние митапы по разработке, хакатоны, доклады по развитию hard и soft skills. 50+ клубов по интересам и профессиональных сообществ внутри компании. Уютный мерч. Полный соцпакет и «белую» зарплату. Корпоративную базу знаний и социальную сеть для удобства общения с каждым из 1700+ сотрудников. Гибкую систему бонусов, которая настраивается под индивидуальные потребности: различные уровни ДМС, оплата обучения и занятий любыми видами спорта. Заботу о ментальном здоровье: онлайн-консультации с психологом.  * Решение Министерства цифрового развития, связи и массовых коммуникаций РФ о предоставлении государственной аккредитации организации, осуществляющей деятельность в области информационных технологий от 10.03.2022 №АО-20220309-3771014210-3"
127605719,Middle Data Analyst (команда «Продажи в Сбербанк Онлайн»),Москва,От 1 года до 3 лет,,"В кластер «Бизнес Сбербанк Онлайн» в продуктовую команду «Продажи в Сбербанк Онлайн» требуется аналитик по работе с данными. Вы окажетесь в самом центре цифрового розничного бизнеса Сбербанка. Основная задача команды - организация и развитие цифровых продаж продуктов ПАО и экосистемы. Сбербанк Онлайн – основной канал цифровой коммуникации с клиентами банка. Обязанности  Анализ бизнес-эффекта рекламных кампаний Подготовка выводов по итогам a\b тестирования Составление рейтингов кампаний по ключевым метрикам рекламы Расчет бенчмарков по базовым метрикам рекламы в мобильном приложении Поведенческий анализ – исследования по действиям клиентов в разных клиентских сценариях Ad-hoc аналитика Анализ и оценка динамики результатов рекламных кампаний Мониторинг исполнения целей digital sales Подготовка регулярных аналитических дайджестов о результатах работы кластера.  Требования  Опыт работы аналитиком данных от 2-х лет (опыт в банковской сфере будет преимуществом) Уверенные знания: SQL, Apache Spark, Microsoft Excel, Python, PowerBI\QlikSense.  Условия  Комфортный современный офис рядом с м. Кутузовская Формат работы - офис Ежегодный пересмотр зарплаты, годовая премия Корпоративный спортзал и зоны отдыха Более 400 образовательных программ СберУниверситета для профессионального и карьерного развития Расширенный ДМС, льготное страхование для семьи и корпоративная пенсионная программа Гибкий дисконт по ипотечному кредиту, равный 1/3 ключевой ставки ЦБ Бесплатная подписка СберПрайм+, скидки на продукты компаний-партнеров Вознаграждение за рекомендацию друзей в команду Сбера."
127570504,Data scientist (рыночные риски),Москва,От 3 до 6 лет,,"Банк России рассматривает кандидатов на текущие и будущие вакансии в Службу анализа рисков. Мы осуществляем независимую дистанционную оценку активов и анализ рисков кредитных и некредитных финансовых организаций, а также проводим экспертизу предметов залога, принятых КО в качестве обеспечения по ссудам, на регулярной основе по заданиям надзорных подразделений Банка России с учетом риск-ориентированного подхода. Для повышения качества и глубины анализа рисков Банк России активно занимается изменением подходов к сбору и обработке первичной информации от кредитных организаций, автоматизации процесса анализа больших данных с применением современных технологий, расширяет границы применения в своей деятельности информации из открытых источников. Задачи:  осуществление процесса централизованного кросс-анализа отчетности поднадзорных организаций на соответствие законодательству РФ, нормативным и иным актам Банка России, обеспечение совершенствования данного процесса; проведение анализа рыночных активов в портфелях поднадзорных организаций; обеспечение разработки и поддержки существующих алгоритмов и направлений анализа, а также работ по автоматизации функционала других отделов Управления анализа рыночных рисков; совершенствование эксплуатируемых алгоритмов (увеличение скорости работы, разработка экранных форм для их работы, разработка запросов к источникам данных и т.д.) в рамках своих компетенций; создание новых (при необходимости) и ведение существующих баз да участие в совершенствовании технических решений, используемых в разработке алгоритмов и методик анализа, путем взаимодействия с ДИТ и другими структурными подразделениями; построение витрин и презентаций на основе анализа и обобщения отчётной, экономической, статистической и иной информации.  Требования:  высшее образование по специальности: «Экономика», «Финансы и кредит», «Прикладная математика / информатика / физика»;  понимание принципов функционирования финансового рынка;  продвинутые знания в области работы с базами данных, хранилищ данных, анализа больших массивов данных и построения витрин данных; написание запросов SQL или опыт работы с хранилищами (Hadoop) или опыт разработки на Python; опыт в области интеллектуальной обработки Big Data (Data Science / ML) на Python; опыт продвинутой разработки на Python (в т.ч Django / Flask, интеграция с БД типа SQL / NOSQL, регулярные выражения и др.); опыт тестирования разработанных продуктов; опыт ввода и вывода из эксплуатации разработанных продуктов; опыт разработки на JS, CSS и HTML в области создания экранных форм; опыт работы в качестве системного / бизнес аналитика / тестировщика (как преимущество); опыт работы с информационными системами RuData / Cbonds (как преимущество); владение компьютерными программами: MS Excel (VBA), PowerPoint; SQL или опыт работы с Hadoop или Python; опционально: Spark, Impala, HTML, CSS;  умение кратко и четко выражать свои мысли;   преимуществом являются знания в области Business Intelligence или реализованные проекты на Django / Flask или портфолио проектов на GitHub   Условия:  Получение уникального опыта в мегарегуляторе; Возможности профессионального и карьерного развития; Привлекательная система мотивации; Широкий социальный пакет; Корпоративное обучение; Удобное расположение офиса."
127599433,Sinior Data Scientist в команду персонализации,Москва,От 3 до 6 лет,,"Вы присоединитесь к команде, работающей с клиентами, и будете отвечать за развитие интеллектуальных механизмов персонализации сервисов. ЧЕМ ВЫ БУДЕТЕ ЗАНИМАТЬСЯ?  строить ML‑модели, которые помогают: привлекать клиентов, предсказывать отток, оценивать uplift, формировать персональные офферы и акции, решать сложные задачи с помощью нейросетей; изучать поведение аудитории и дорабатывать алгоритмы рекомендаций, чтобы предложения становились точнее и ценнее; отслеживать, насколько хорошо рекомендательная система работает, — через метрики и бизнес‑результаты; помогать оформлять техническую документацию: ТЗ, спецификации, описания алгоритмов; работать с разнородными данными — находить закономерности и создавать признаки для моделей; ставить эксперименты (A/B‑тесты), разбирать результаты и предлагать, как улучшить продукт; следить за новыми трендами и подходами в ML/AI и придумывать, как применить их для наших продуктов.     МЫ ЖДЕМ, ЧТО ВЫ:   Занимались построением рекомендательных систем;   Имеете практический опыт полного цикла решения ML задачи: предобработка данных, выбор алгоритмов и тюнинг их параметров, оценка качества моделей, визуализация;   Имеете степень бакалавра или магистра в области компьютерных наук, науки о данных, математики, статистики или смежных областях;   Работаете в области анализа данных и машинного обучения от 2 лет;   Программируете на Python;   Знаете SQL на уверенном уровне (вложенные запросы, оконные функции).   БУДЕТ ПЛЮСОМ, ЕСЛИ ВЫ:  Знаете и понимаете метрики, необходимые для оценки качества моделей; Работали с фреймворками PyTorch / TensorFlow; Работали с Linux, bash, системами контроля версий.  ЧТО МЫ ПРЕДЛАГАЕМ:  Достойный уровень вознаграждения; ДМС со стоматологией с первого месяца работы; Отпуск 33 дня; Полное соблюдение ТК РФ."
