id,name,area,experience,key_skills,description
127890389,Data Analyst (Middle),Москва,От 1 года до 3 лет,"SQL, Python, A/B тесты, Статистика","Чем предстоит заниматься  Генерировать идеи, искать и тестировать новые подходы для подбора релевантных продуктов нашим абонентам Заниматься дизайном и оценкой эффектов A/B-тестов Разрабатывать отчетность и дэшборды по продуктам Напрямую влиять на бизнес-KPI    Что для этого нужно  Уверенные знания статистики и A/B-тестирования Отличное владение SQL Знания Python Опыт работы с BI-инструментами Продуктовое мышление  Будет плюсом:  Понимание принципов работы экосистемы Hadoop и опыт работы с ней (PySpark, Hive) Опыт работы с Airflow или другими инструментами продуктивизации Опыт работы с Qlik Sense"
127855846,Data Scientist/Аналитик данных (Москва_гибрид),Москва,От 1 года до 3 лет,"Python, SQL, Анализ данных, Clickhouse","Стек: Oracle, ClickHouse, Docker, Python, FastApi, Airflow, GitLab, MLflow Обязанности:  Разрабатывать модели и проверять гипотезы. Проводить исследования и анализировать данные для решения бизнес-задач. Разрабатывать и поддерживать пайплайны данных. Контролировать качество данных для моделей. Взаимодействовать с командой аналитиков и инженеров. Визуализировать и документировать результаты анализа.  Требования:  Уверенное владение Python и основными библиотеками для анализа и визуализации данных, классического ML Знание SQL. Опыт командной разработки (git). Понимание теоретических основ машинного обучения и статистики. Опыт работы с временными рядами и моделями прогнозирования. Высшее образование в области STEM. Аналитическое мышление и внимание к деталям.  Будет плюсом:  Опыт работы с RL/DL Опыт работы в проектах по оптимизации промо и ценообразования Интерес к задачам развертывания и мониторинга моделей  Условия:  Формат работы гибрид: 3 дня в офисе, 2 удаленно; Полный соц.пакет: отпуска, б\л и полный спектр гарантий установленных ТК РФ; Комфортный офис в Москва-Сити  В сопроводительном письме указывайте пожалуйста свои ожидания по ЗП"
127609676,Data analyst / Аналитик данных,Москва,От 3 до 6 лет,"Анализ данных, Data Analysis, A/B тесты, SQL, Clickhouse, MySQL, Python, pandas, Numpy, SciPy, Plotly, Математическая статистика, Power BI, Tableau","Мы — кадровое агентство match, и один из наших основных клиентов— компания, которая является лидером в сфере разработки передового программного обеспечения. За годы работы компания создала множество масштабируемых решений, которые помогают бизнесу развиваться и достигать новых высот.Сейчас мы ищем Senior Data Analyst, который хочет стать частью команды.   Чем предстоит заниматься:   Обработкой и анализом больших массивов данных совместно с командой дата-инженеров для BI-аналитики;   Построением дашбордов в Tableau, подготовкой витрин для дашбордов;   Полным флоу по проведению АБ-тестов с оценкой целесообразности тестов и предложениями по увеличению их бизнес-ценности;   Проведением аналитических исследований, генерацией и самостоятельной проверкой гипотез;   Презентацией результатов исследований и тестов С-level.     Команда ожидает, что у вас есть:  Опыт работы в направлении анализа данных от 4 лет; Отличное знание SQL (команда использует ClickHouse и MySQL) и Python (Pandas, Numpy, SciPy, Plotly); Знание статистики (описательная статистика, корреляционный и регрессионный анализ, стат. тесты и пр.); Опыт проведения и анализа A/B тестов, а также исследований; Навыки работы с BI-системами (например, Power BI, Tableau) для анализа данных; Умение видеть за цифрами причины и суть явлений и выделять главное.    Вашим преимуществом будет:   Курсы по аналитике данных от Яндекс.Практикум, Карпов курсы;   Портфолио на github, ссылки на проекты.     Условия:   Рабочее место по выбору: уютный офис в бизнес-центре класса «А» в Санкт-Петербурге, Белграде (Сербия) или возможность работать удаленно по миру;   Гибкие варианты выплат: можно получать зарплату в рублях в России и в евро в Сербии;   Заботу о здоровье: ДМС с покрытием всех основных услуг на территории России или Сербии;   Гибкий график работы: гибкое начало дня — до 11:00 по МСК (для Белграда — до 11:00 по местному времени). Рабочий день — 9 часов, с учетом 1 часа на обед;   Заботу о комфорте — каждый день ждут свежие и вкусные завтраки в офисе;   Поддержку в развитии: частичная компенсация занятий в фитнес-зале и курсов английского, доступ к корпоративной библиотеке с актуальными книгами для роста, а также консультации с психологом, если нужно поддержать mental health;   Тимбилдинг на новом уровне: мастер-классы, выездные мероприятия на природу, корпоративы с приятными сюрпризами и интересными призами — все для того, чтобы создать яркую атмосферу;   Поддержку при релокации: для сотрудников из других городов или стран предоставляется релокационный пакет в Сербию, Белград после успешного прохождения испытательного срока."
127517962,Data Scientist / ML engineer / Data science,Москва,От 1 года до 3 лет,"Python, SQL, LLM, ML, RAG","Selecty - аккредитованная IT-компания, оказывающая услуг в сфере IT-аутсорсинга.Работаем на рынке более 10 лет, с 2013 года успешно решая задачи любой сложности в рамках цифровой трансформации для крупного бизнеса. Среди заказчиков Selecty более 300 компаний из списка РБК Топ-500. 500 Сейчас мы находимся в поиске Data Science для проекта крупнейшего коммерческого банка. Тебе предстоит:- Анализировать данные и выявлять полезные для бизнеса закономерности.- Разрабатывать и оптимизировать модели машинного обучения, включая нейросети и большие языковые модели (LLM).- Проводить предобработку и визуализацию данных.- Работать с базами данных через SQL-запросы.- Готовить отчеты с результатами анализа и рекомендациями для принятия решений.- Участвовать в проектной деятельности и интегрировать решения в производственную среду. Что ожидаем от тебя:- Опыт работы в аналогичной должности не менее двух лет.- Знание классических моделей машинного обучения, RAG и LLM.- Глубокое понимание алгоритмов и методов машинного обучения.- Владение библиотеками для машинного обучения, такими как Scikit-Learn, TensorFlow, PyTorch.- Навыки работы с инструментами для обработки и анализа данных, такими как Pandas, NumPy.- Умение писать SQL-запросы и работать с системами управления базами данных.- Опыт в разработке и внедрении ML-решений в производственную среду.- Отсутсвие ИП в IT- Требуется оконченное высшее образование по технической\математической специальности. Мы предлагаем:- Удаленный формат работы;- Официальное оформление в аккредитованную IT-компанию (в штат Selecty) ;- Гарантированный официальный оклад (обсуждается по итогам собеседования);- ДМС со стоматологией, начиная с ИС;- Скидки от наших партнеров на изучение иностранных языков, фитнес, кино;- Реферальная программа: бонус за рекомендации."
127880181,Data-аналитик,Новосибирск,От 1 года до 3 лет,"Аналитика, Аналитическое мышление, Разработка технических заданий","Привет!Robotmia – продуктовая IT-компания, специализирующаяся на технологиях машинного обучения, искусственного интеллекта и понимания естественного языка. На рынке больше 7 лет и каждый год растет минимум в 2 раза.Мы - сильное окружение из умных и приятных людей.Наша команда ежедневно создает рабочее пространство, где каждый чувствует себя, как часть единого целого. Мы ценим самореализацию и инновации. У нас есть все возможности для раскрытия твоего потенциала, работая в команде профессионалов. Основные продукты – ""Голосовой ассистент"" и ""Модуль определения автоответчиков"". С их помощью наши клиенты кратно увеличивают качество обслуживания своих пользователей и в разы сокращают расходы. А с операторов call-центров снимают скучную и рутинную работу. Наши клиенты — российские компании из самых разных сфер (логистика, медицина, банковский сектор и другие). Многих из них ты можешь найти в ежегодном рейтинге Forbes “ТОП-200 крупнейших частных компаний России”. Мы ищем талантливого и увлеченного Дата-аналитика, который поможет нашей компании принимать данные-ориентированные решения и улучшать бизнес-процессы. Если ты любишь работать с числами, находить закономерности в данных и превращать их в понятные инсайты, то эта вакансия для тебя! Чем нужно будет заниматься? - Сбор, очистка и анализ больших объемов данных из различных источников. - Разработка и поддержка отчетов, дашбордов и визуализаций для мониторинга ключевых метрик. - Проведение аналитических исследований для выявления трендов, закономерностей и аномалий. - Автоматизация процессов обработки данных и создание ETL-процессов. - Взаимодействие с командой продукта и разработки для формулирования гипотез и проверки их на данных. - Подготовка презентаций и отчетов с выводами и рекомендациями. Мы точно сработаемся, если у тебя есть: - Опыт работы в аналитике от 1 года. - Навыки работы с SQL для извлечения и обработки данных. - Знание Python (библиотеки Pandas, NumPy, Matplotlib/Seaborn) для анализа данных. - Понимание основ статистики и вероятности. - Умение работать с большими объемами данных и знание основ работы с базами данных. - Внимание к деталям, аналитическое мышление и способность работать с неструктурированными данными. Условия:   График 5/2, гибкое начало рабочего дня, гибридный формат работы(1/2 удаленных);   Заработная плата 2 раза в месяц оклад+KPI (по итогам собеседования);   Официальное трудоустройство, отпуска/больничные(все по ТК РФ);   Карьерный рост и развитие экспертно внутри компании.   Будет плюсом, если ты: - Базовые знания в машинном обучении. - Знание основ A/B тестирования. Мы не корпорация, наша стратегия основана на доверии и долгосрочных отношениях. Нам важно, чтобы новый человек был ответственным, вовлеченным и не боялся сложных задач."
127878477,Data Scientist,Москва,От 3 до 6 лет,"Python, SQL, TensorFlow, PyTorch, Keras, PySpark, Ad Hoc Analysis","Чем предстоит заниматься:  Строить модели машинного обучения и нейронных сетей; Проверять гипотезы для улучшения точности моделей и проводить А/Б-тесты; Разрабатывать production-пайплайны и писать production-код.  Наши ожидания:  Опыт работы в DS/ML от 3 лет и наличие кейсов c выводом разработанных решений в прод; Уверенное владение SQL; Уверенное владение Python и стандартными DS библиотеками(NumPy, pandas, matplotlib/seaborn/plotly, scikit-learn, XGBoost/LightGBM/CatBoost, PyTorch); Знание принципов работы алгоритмов машинного обучения(линейная регрессия, логистическая регрессия, деревья решений, случайный лес, градиентный бустинг, нейронные сети и др.); Опыт работы с Docker, Grafana, MLflow, Airflow; Навыки работы с PySpark; Навыки проведения A/B-тестов, оценки их результатов и анализа метрик.  Будет плюсом:  Опыт работы с PyTorch(LSTM, BERT); Опыт работы со скорингами; Опыт работы с прогнозированием временных рядов; Опыт работы с рекомендательными системами; Опыт работы с ранжированием; Опыт работы с uplift-моделированием."
127891058,Middle Data Scientist NLP/LLM (AI Agents),Москва,От 1 года до 3 лет,"LLM, NLP, Python","Чем предстоит заниматься  Проектированием и развитием LLM-агентов для продавцов маркетплейса: автоматизация операций поставки, вывоза, перемещения товаров между складами и других логистических действий; Разработкой и развитием RAG-систем для работы с внутренними регламентами, заявками, документацией и данными о товарах; Интеграцией и оркестрацией LLM (в том числе через LangGraph/LangChain) в существующие сервисы платформы; Проработкой процессов оценки, тестирования и мониторинга полноценных агентских систем (offline-метрики, auto-eval, трейсинг диалогов); Совместной работой с продуктовой командой: сбор требований, декомпозиция задач, участие в формировании и движении по продуктовому бэклогу по агентизации процессов; Поддержкой и развитием ML-сервисов в продакшене: оптимизация инференса, наблюдаемость, стабильность и качество ответов агентов.  От успешного соискателя мы ожидаем  От 2 лет коммерческого опыта разработки (Python или Go); От 2 лет опыта в задачах NLP/GenAI/LLM; Понимание основных подходов к проектированию и архитектуре LLM-агентов (роль/инструменты, планирование, оркестрация, управление состоянием); Знание теоретических основ NLP — от bag-of-words/TF-IDF до современных Transformer/LLM-подходов;  Понимание и практический опыт применения RAG/CAG/KAG-подходов для решения бизнес-задач;  Опыт оценки LLM-моделей и агентных систем (классические метрики, human-eval, auto-eval, работа с логами/трейсингом); Опыт файнтюнинга моделей (LoRA, QLoRA, DPO или аналогичные методы); Уверенное владение Python (ООП, PyTorch, экосистема для работы с данными и ML); Минимум один реализованный проект с LLM-агентами (production- или pet-проект) с возможностью показать код/демо; Понимание процесса продуктовой разработки и умение работать в условиях меняющихся требований.  Будет плюсом  Опыт разработки сложных агентных систем (multi-agent, tool-calling, интеграция с внешними API и бэкенд-сервисами); Опыт построения систем наблюдаемости и качества для LLM-агентов (LangFuse или аналоги, кастомные дашборды, алерты); Опыт оптимизации LLM-инференса под высокие нагрузки (vLLM, Triton, ONNX/TorchScript, квантование); Опыт проведения A/B-тестов и продуктовых экспериментов для ML/LLM-функциональности; Опыт быстрого прототипирования интерфейсов и демо (Gradio/Streamlit или аналогичные инструменты); Опыт работы с асинхронными пайплайнами, очередями, оркестраторами (Celery, Kafka, Airflow и т.п.).  Наш стек Разработка и инфраструктура: Python, Go (по желанию), Docker, Kubernetes, GitLab;ML и LLM: PyTorch, Transformers, vLLM, Triton, LangGraph,, LangFuse;Наблюдаемость: Prometheus, Grafana."
127868408,ML-разработчик (NLP) в Дзен,Москва,От 1 года до 3 лет,"NLP, ML","Дзен — это рекомендательная система и блог-платформа, которая помогает миллионам людей находить интересный контент, а авторам — свою аудиторию. Мы команда, которая разрабатывает и поддерживает контентные модели для всех сервисов Дзена.Вы будете разрабатывать и внедрять современные модели машинного обучения, решающие ключевые задачи для Дзена. Основной фокус — NLP. Ваша работа охватит весь жизненный цикл ML-решения: от постановки задачи и сбора данных до обучения, оценки качества и внедрения в production. Ваша работа напрямую повлияет на качество и интеллектуальность сервисов Дзена для миллионов пользователей. Основные задачи  Разрабатывать, обучать и внедрять DL-модели для задач: генерация, классификация, сегментация, семантическая схожесть и другие Исследовать и применять LLM для создания агентных пайплайнов, решающих сложные задачи для пользователей Проектировать и реализовывать полный ML-пайплайн: от данных до бизнес-метрик Оптимизировать и ускорять инференс DL-моделей для production Проводить эксперименты на мощном железе, включая кластеры с GPU H100  Требования  Опыт работы в ML/DL от двух лет Глубокие теоретические знания в ML, DL и особенно в NLP Практический опыт с PyTorch и Hugging Face Способность самостоятельно формализовать, спроектировать и реализовать ML-пайплайн: от сбора и подготовки данных до выбора архитектуры, обучения, валидации и внедрения Умение корректно оценивать качество моделей, подбирать и интерпретировать метрики Готовность работать в research-ориентированной среде, генерировать и проверять гипотезы  Будет плюсом  Понимание или опыт работы с архитектурами Encoder, Decoder, Encoder-Decoder Знание методов ускорения DL-моделей (квантование, дистилляция, оптимизация инференса) Опыт с PyTorch, Hugging Face Transformers, PyTorch Lightning, TensorRT-LLM или аналогичными фреймворками Опыт работы с большими языковыми моделями (LLM) и построением агентных пайплайнов Готовность участвовать в командных обсуждениях, делиться идеями и предлагать нестандартные решения"
127869009,Full Stack Data (engineer + analyst),Москва,От 3 до 6 лет,,"КОМПАНИЯ «АЙ-ТЕКО» - ведущий российский системный интегратор и поставщик информационных технологий для корпоративных заказчиков. Активно действует на рынке IT России с 1997 года, входит в ТОП-400 крупнейших российских компаний, ТОП-10 крупнейших IT-компаний России. В связи с активным развитием проектов в компании открыта вакансия Data Engineer/Data аналитика. От кандидата ожидаем:  уверенное знание SQL, понимание нормализации, опыт разработки витрин; опыт построения хранилищ, витрин, моделей данных; логическое мышление, структурированное выражение своих мыслей устно и письменно.  Мы ищем Full Stack Data Analytics Engineering, который поможет намсоздавать решения по выводу различных BigData артефактов в ПРОМ:  70% времени занимает аналитика, 30% - разработка взаимодействовать с бизнес-заказчиком, анализировать, уточнять и согласовывать требования; разрабатывать модели данных витрин создавать проектную документацию (требования, S2T, модель данных, описание логики трансформации); согласовывать решения с архитекторами заказчика и презентовать результаты; работа с данными: анализ, внедрении и отслеживании данных Проектирование и построение прототипов, витрин Проектирование и разработка потоков данных Построение таблиц с версионированием данных (бизнес/техническая история , ескд2)  Мы предлагаем:  Работу в стабильной компании, ""белую"" заработную плату; Оформление в соответствии с ТК РФ с первого дня работы; Расширенный социальный пакет: ДМС (включая стоматологию), корпоративные скидки на посещение фитнес-клубов, футбольная и волейбольная секции; Профессиональное обучение и развитие; Яркая и насыщенная корпоративная жизнь; Снабжаем всей необходимой современной техникой."
127868589,"Data Scientist, Аналитический Департамент",Москва,Более 6 лет,"Python, SQL, CV, NLP","Задачи  Разработка и оптимизация мультиагентных систем, включающих в себя CV, NLP и анализ time-series; Разработка ML инструментов, повышающих эффективность индустриальной аналитики (нефтегаз, металлургия, агро и прочее); Разработка ML инструментов для цифровизации бизнес-процессов на основе генеративных алгоритмов (включая разработку AI-ассистентов); Разработка инструментов парсинга и обработки данных из внешних источников; Взаимодействие с командами внедрения и секторальными аналитиками.  Требования  Опыт в Data Science и разработке на Python не менее 4х лет Опыт построения ML моделей / разработки MVP Опыт работы с многопоточностью, многопроцессностью Знание алгоритмов машинного обучения Знание основ построения генеративных моделей Знание tensorflow, pytorch, CUDA Знание SQL Английский язык от intermediate  Условия  Формат работы: полный рабочий день в офисе; Конкурентная заработная плата; Профессиональное обучение и развитие; Добровольное медицинское страхование сотрудника и несовершеннолетних членов семьи, страхование жизни и здоровья."
